Name	NumReads
GQ67_01329	26
GQ67_01330	22
GQ67_01331	22.68
GQ67_01332	20.32
GQ67_01333	65
GQ67_01334	1
GQ67_01335	477
GQ67_01336	34
GQ67_01337	68
GQ67_01338	597
GQ67_01339	3720
GQ67_01340	72
GQ67_01341	53
GQ67_01342	91
GQ67_01343	167
GQ67_01344	31
GQ67_01345	25
GQ67_01346	4
GQ67_01348	24
GQ67_01349	258
GQ67_01350	54
GQ67_01351	3
GQ67_01352	0
GQ67_01353	0
GQ67_01355	8
GQ67_01356	22
GQ67_01357	3
GQ67_01358	5
GQ67_01359	19
GQ67_01360	92
GQ67_01361	23
GQ67_01362	58
GQ67_01363	26
GQ67_01364	8
GQ67_01365	57
GQ67_01366	30
GQ67_01367	59
GQ67_01368	1365
GQ67_01369	49
GQ67_01371	14
GQ67_01372	63
GQ67_01373	5
GQ67_01374	12
GQ67_01375	226
GQ67_01376	19
GQ67_01377	41
GQ67_01378	19
GQ67_01379	723
GQ67_01380	36
GQ67_01381	105
GQ67_01382	113
GQ67_01383	6
GQ67_01384	758
GQ67_01385	102.574
GQ67_01386	310
GQ67_01387	2
GQ67_01388	260
GQ67_01389	10
GQ67_01390	1279
GQ67_01391	41
GQ67_01392	469
GQ67_01393	5
GQ67_01394	133
GQ67_01395	90
GQ67_01396	239
GQ67_01397	405
GQ67_01398	46
GQ67_01399	15
GQ67_01400	694
GQ67_01401	15
GQ67_01402	7
GQ67_01403	6
